"ID do usuário","Nome do usuário","ID Clerk","Usuário criado em","ID do grupo","Nome do grupo","Código de convite","Associação criada em"
"1","Ana Beatriz Souza","seed-rachador-001","2026-08-31T12:49:00.323562+00:00","1","viagem ano novo ","lNKkORKd","2026-08-31T12:49:00.323562+00:00"
"1","Ana Beatriz Souza","seed-rachador-001","2026-08-31T12:49:00.323562+00:00","2","viagem ano novo ","XJtJRgEn","2026-08-31T12:49:00.323562+00:00"
"2","Bruno Henrique Lima","seed-rachador-002","2026-08-31T12:49:00.323562+00:00","1","viagem ano novo ","lNKkORKd","2026-08-31T12:49:00.323562+00:00"
"3","Camila Ferreira","seed-rachador-003","2026-08-31T12:49:00.323562+00:00","2","viagem ano novo ","XJtJRgEn","2026-08-31T12:49:00.323562+00:00"
"4","Diego Martins","seed-rachador-004","2026-08-31T12:49:00.323562+00:00","3","viagem ano novo ","8wdB3Syf","2026-08-31T12:49:00.323562+00:00"
"5","Elisa Rocha","seed-rachador-005","2026-08-31T12:49:00.323562+00:00","3","viagem ano novo ","8wdB3Syf","2026-08-31T12:49:00.323562+00:00"
"6","Fernanda Costa","seed-rachador-006","2026-08-31T12:49:00.323562+00:00","4","viagem","S139h9hn","2026-08-31T12:49:00.323562+00:00"
"7","Gabriel Oliveira","seed-rachador-007","2026-08-31T12:49:00.323562+00:00","5","viagem","iXrIB39i","2026-08-31T12:49:00.323562+00:00"
"8","Helena Santos","seed-rachador-008","2026-08-31T12:49:00.323562+00:00","6","Viagem","9fteAJ9f","2026-08-31T12:49:00.323562+00:00"
"9","Igor Mendes","seed-rachador-009","2026-08-31T12:49:00.323562+00:00","7","Viagem","E82xEwHY","2026-08-31T12:49:00.323562+00:00"
"10","Juliana Alves","seed-rachador-010","2026-08-31T12:49:00.323562+00:00","","","",""
